Category,Location,Category Encoded,Lat,Long,Open hours,Price Level,Lat_rad,Long_rad,Min Dist to next,cluster,place_id
Art Galleries,Galleria Spada,2,41.89420339999999,12.4719221,"['Monday: 8:30\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: Closed', 'Wednesday: 8:30\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20097:30\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u20097:30\u202fPM', 'Sunday: 8:30\u202fAM\u2009–\u20097:30\u202fPM']",0.0,0.7311917868302028,0.2176761046972455,136.1204540865173,2,ChIJ_-4QBEZgLxMRJTdhvXwscbM
Art Galleries,Capitoline Museums,2,41.8929428,12.4825577,[],0.0,0.7311697852096524,0.21786173093517058,0.0,5,ChIJ8-wGeU9gLxMR--zJtnpGod4
Art Galleries,Museo Nazionale Romano,2,41.9015836,12.4980228,"['Monday: Closed', 'Tuesday: 9:30\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u20097:00\u202fPM']",0.0,0.7313205956196587,0.21813164784932074,0.0,3,ChIJ18PTgaZhLxMRvINaLw9AZ2w
Art Galleries,Villa Farnesina,2,41.89359939999999,12.4672868,"['Monday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']",0.0,0.7311812450415208,0.2175952034504278,376.1875758180323,2,ChIJmUUGzkZgLxMR-T6gV-Qsy4o
Art Galleries,Museo di Roma,2,41.897551,12.4727241,"['Monday: Closed', 'Tuesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20097:00\u202fPM']",0.0,0.7312502134722427,0.2176901022378465,181.6061512426216,2,ChIJbedagU9gLxMRdw-SiQm53EM
Art Galleries,Centrale Montemartini,2,41.866817,12.4780576,"['Monday: Closed', 'Tuesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20097:00\u202fPM']",0.0,0.7307138039799348,0.21778318937350158,0.0,1,ChIJpcPlnIGKJRMReN1sXvlbJ2Q
Art Galleries,Scuderie del Quirinale,2,41.8986595,12.4861163,"['Monday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20098:00\u202fPM']",0.0,0.7312695604470011,0.21792384022193206,343.0892070082135,0,ChIJqVSndq1hLxMR41tL3BYx9jM
Art Galleries,Museo dell'Ara Pacis,2,41.90583779999999,12.4754083,"['Monday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u20097:30\u202fPM']",0.0,0.7313948454166969,0.2177369503656285,326.13854710790827,6,ChIJgciXqkRgLxMRT8Pu1MtrIxE
Art Galleries,Palazzo Massimo alle Terme,2,41.9015836,12.4980228,"['Monday: Closed', 'Tuesday: 9:30\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u20097:00\u202fPM']",0.0,0.7313205956196587,0.21813164784932074,0.0,3,ChIJ18PTgaZhLxMRvINaLw9AZ2w
Art Galleries,Centrale Montemartini,2,41.866817,12.4780576,"['Monday: Closed', 'Tuesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20097:00\u202fPM']",0.0,0.7307138039799348,0.21778318937350158,0.0,1,ChIJpcPlnIGKJRMReN1sXvlbJ2Q
